Name,Position,Age,Player Nationality,Market Value,Club,League,Transfer Type,Fee
Erling Haaland,Centre-Forward,21,Norway,150.0,Man City,Premier League,Permanent,60.0
Enzo Fernández,Defensive Midfield,22,Argentina,55.0,Chelsea,Premier League,Permanent,121.0
Antony,Right Winger,22,Brazil,35.0,Man Utd,Premier League,Permanent,95.0
Wesley Fofana,Centre-Back,21,France,40.0,Chelsea,Premier League,Permanent,80.4
Aurélien Tchouaméni,Defensive Midfield,22,France,60.0,Real Madrid,LaLiga,Permanent,80.0
Casemiro,Defensive Midfield,30,Brazil,40.0,Man Utd,Premier League,Permanent,70.65
Mykhaylo Mudryk,Left Winger,22,Ukraine,40.0,Chelsea,Premier League,Permanent,70.0
Alexander Isak,Centre-Forward,22,Sweden,30.0,Newcastle,Premier League,Permanent,70.0
Matthijs de Ligt,Centre-Back,22,Netherlands,70.0,Bayern Munich,Bundesliga,Permanent,67.0
Raheem Sterling,Left Winger,27,England,70.0,Chelsea,Premier League,Permanent,56.2
Sadio Mané,Left Winger,30,Senegal,70.0,Bayern Munich,Bundesliga,Permanent,32.0
Romelu Lukaku,Centre-Forward,29,Belgium,70.0,Inter,Serie A,Loan,
João Cancelo,Right-Back,28,Portugal,70.0,Bayern Munich,Bundesliga,Loan,
Marc Cucurella,Left-Back,24,Spain,28.0,Chelsea,Premier League,Permanent,65.3
Federico Chiesa,Left Winger,24,Italy,65.0,Juventus,Serie A,Permanent,42.5
Jules Koundé,Centre-Back,23,France,60.0,Barcelona,LaLiga,Permanent,50.0
Cody Gakpo,Left Winger,23,Netherlands,60.0,Liverpool,Premier League,Permanent,42.0
Raphinha,Right Winger,25,Brazil,45.0,Barcelona,LaLiga,Permanent,58.0
Richarlison,Centre-Forward,25,Brazil,48.0,Tottenham,Premier League,Permanent,58.0
Lisandro Martínez,Centre-Back,24,Argentina,32.0,Man Utd,Premier League,Permanent,57.37
Darwin Núñez,Centre-Forward,23,Uruguay,55.0,Liverpool,Premier League,Permanent,80.0
Fabián Ruiz,Central Midfield,26,Spain,55.0,Paris SG,Ligue 1,Permanent,23.0
Gabriel Jesus,Centre-Forward,25,Brazil,50.0,Arsenal,Premier League,Permanent,52.2
Cristian Romero,Centre-Back,24,Argentina,48.0,Tottenham,Premier League,Permanent,50.0
Kalvin Phillips,Defensive Midfield,26,England,50.0,Man City,Premier League,Permanent,49.0
Carlos Soler,Central Midfield,25,Spain,50.0,Paris SG,Ligue 1,Permanent,18.0
João Félix,Second Striker,23,Portugal,50.0,Chelsea,Premier League,Loan,
Paul Pogba,Central Midfield,29,France,48.0,Juventus,Serie A,Free,
Anthony Gordon,Left Winger,21,England,40.0,Newcastle,Premier League,Permanent,45.6
Robert Lewandowski,Centre-Forward,33,Poland,45.0,Barcelona,LaLiga,Permanent,45.0
Matheus Nunes,Central Midfield,23,Portugal,35.0,Wolves,Premier League,Permanent,45.0
Franck Kessié,Central Midfield,25,Cote d'Ivoire,45.0,Barcelona,LaLiga,Free,
Enzo Fernández,Defensive Midfield,21,Argentina,15.0,Benfica,Liga Portugal,Permanent,44.25
Lucas Paquetá,Attacking Midfield,25,Brazil,35.0,West Ham,Premier League,Permanent,42.95
Amine Gouiri,Centre-Forward,22,France,42.0,Rennes,Ligue 1,Permanent,28.0
Vitinha,Central Midfield,22,Portugal,30.0,Paris SG,Ligue 1,Permanent,41.5
Bremer,Centre-Back,25,Brazil,35.0,Juventus,Serie A,Permanent,41.0
Nuno Mendes,Left-Back,20,Portugal,40.0,Paris SG,Ligue 1,Permanent,38.0
Benoît Badiashile,Centre-Back,21,France,40.0,Chelsea,Premier League,Permanent,38.0
Gonçalo Guedes,Second Striker,25,Portugal,40.0,Wolves,Premier League,Permanent,32.6
Diego Carlos,Centre-Back,29,Brazil,40.0,Aston Villa,Premier League,Permanent,31.0
Antonio Rüdiger,Centre-Back,29,Germany,40.0,Real Madrid,LaLiga,Free,
Kalidou Koulibaly,Centre-Back,31,Senegal,35.0,Chelsea,Premier League,Permanent,38.0
Sven Botman,Centre-Back,22,Netherlands,30.0,Newcastle,Premier League,Permanent,37.0
Gianluca Scamacca,Centre-Forward,23,Italy,30.0,West Ham,Premier League,Permanent,36.0
Fábio Vieira,Attacking Midfield,22,Portugal,25.0,Arsenal,Premier League,Permanent,35.0
Oleksandr Zinchenko,Left-Back,25,Ukraine,25.0,Arsenal,Premier League,Permanent,35.0
Amadou Onana,Defensive Midfield,20,Belgium,10.0,Everton,Premier League,Permanent,35.0
Nayef Aguerd,Centre-Back,26,Morocco,12.0,West Ham,Premier League,Permanent,35.0
Noni Madueke,Right Winger,20,England,15.0,Chelsea,Premier League,Permanent,35.0
Sébastien Haller,Centre-Forward,28,Cote d'Ivoire,35.0,Bor. Dortmund,Bundesliga,Permanent,31.0
Karim Adeyemi,Left Winger,20,Germany,35.0,Bor. Dortmund,Bundesliga,Permanent,30.0
Yves Bissouma,Central Midfield,25,Mali,35.0,Tottenham,Premier League,Permanent,29.2
Timo Werner,Centre-Forward,26,Germany,35.0,RB Leipzig,Bundesliga,Permanent,20.0
Ryan Gravenberch,Central Midfield,20,Netherlands,35.0,Bayern Munich,Bundesliga,Permanent,18.5
Jorginho,Defensive Midfield,31,Italy,35.0,Arsenal,Premier League,Permanent,11.3
Arnaut Danjuma,Left Winger,25,Netherlands,35.0,Tottenham,Premier League,Loan,
Paulo Dybala,Second Striker,28,Argentina,35.0,AS Roma,Serie A,Free,
Niklas Süle,Centre-Back,26,Germany,35.0,Bor. Dortmund,Bundesliga,Free,
Andreas Christensen,Centre-Back,26,Denmark,35.0,Barcelona,LaLiga,Free,
Nico Schlotterbeck,Centre-Back,22,Germany,33.0,Bor. Dortmund,Bundesliga,Permanent,20.0
Brenden Aaronson,Attacking Midfield,21,United States,25.0,Leeds,Premier League,Permanent,32.84
Vitinha,Centre-Forward,22,Portugal,15.0,Marseille,Ligue 1,Permanent,32.0
Gonçalo Guedes,Second Striker,26,Portugal,32.0,Benfica,Liga Portugal,Loan,
Steven Bergwijn,Left Winger,24,Netherlands,18.0,Ajax,Eredivisie,Permanent,31.25
Charles De Ketelaere,Attacking Midfield,21,Belgium,30.0,AC Milan,Serie A,Permanent,35.5
Malo Gusto,Right-Back,19,France,15.0,Chelsea,Premier League,Permanent,30.0
Leandro Trossard,Left Winger,28,Belgium,30.0,Arsenal,Premier League,Permanent,24.0
Manuel Akanji,Centre-Back,27,Switzerland,30.0,Man City,Premier League,Permanent,17.5
Frank Anguissa,Central Midfield,26,Cameroon,30.0,SSC Napoli,Serie A,Permanent,16.0
Nicolò Zaniolo,Attacking Midfield,23,Italy,30.0,Galatasaray,Süper Lig,Permanent,15.0
Renan Lodi,Left-Back,24,Brazil,30.0,Nottm Forest,Premier League,Loan,
Tanguy Ndombélé,Central Midfield,25,France,30.0,SSC Napoli,Serie A,Loan,
Angeliño,Left-Back,25,Spain,30.0,TSG Hoffenheim,Bundesliga,Loan,
Morgan Gibbs-White,Attacking Midfield,22,England,11.0,Nottm Forest,Premier League,Permanent,29.5
Leander Dendoncker,Defensive Midfield,27,Belgium,28.0,Aston Villa,Premier League,Permanent,15.0
Renato Sanches,Central Midfield,24,Portugal,28.0,Paris SG,Ligue 1,Permanent,15.0
Giacomo Raspadori,Second Striker,22,Italy,28.0,SSC Napoli,Serie A,Loan,
Hugo Ekitiké,Centre-Forward,20,France,28.0,Paris SG,Ligue 1,Loan,
Mohamed Camara,Defensive Midfield,22,Mali,27.0,Monaco,Ligue 1,Permanent,15.0
Xaver Schlager,Central Midfield,24,Austria,27.0,RB Leipzig,Bundesliga,Permanent,12.0
